Date,EUR_USD
09-03-2005,13.72869333
10-03-2005,14.67914133
15-03-2005,13.99270667
16-03-2005,14.20391733
18-03-2005,15.11476333
21-03-2005,17.75489667
22-03-2005,18.90335467
29-03-2005,17.75489667
31-03-2005,18.81095
01-04-2005,19.01872
04-04-2005,21.92974857
05-04-2005,21.21816381
06-04-2005,18.95403048
07-04-2005,19.47154667
08-04-2005,18.37182476
11-04-2005,17.46617143
12-04-2005,20.05375238
13-04-2005,19.60092571
14-04-2005,20.3642621
15-04-2005,20.20900724
18-04-2005,20.24782095
19-04-2005,21.15347429
20-04-2005,22.90009143
21-04-2005,22.64133333
22-04-2005,21.86505905
25-04-2005,21.55454933
26-04-2005,21.7486179
27-04-2005,20.99821943
28-04-2005,20.57126857
29-04-2005,20.70064762
02-05-2005,19.44713836
03-05-2005,20.31032727
04-05-2005,20.11991795
06-05-2005,20.37379705
10-05-2005,21.6431925
11-05-2005,20.37379705
12-05-2005,20.31032727
13-05-2005,20.31032727
17-05-2005,21.60511064
18-05-2005,21.33853759
19-05-2005,22.12556277
20-05-2005,23.0395275
23-05-2005,23.48381591
26-05-2005,25.31174536
27-05-2005,24.9943965
30-05-2005,24.19467736
31-05-2005,24.81668114
01-06-2005,23.50260436
06-06-2005,23.00384309
07-06-2005,23.13765709
08-06-2005,23.36879036
09-06-2005,23.44177982
10-06-2005,23.36879036
13-06-2005,23.53909909
14-06-2005,23.59992364
15-06-2005,23.66074818
16-06-2005,23.41745
17-06-2005,24.81641455
20-06-2005,26.7628
21-06-2005,27.73599273
22-06-2005,27.91846636
23-06-2005,27.79681727
24-06-2005,28.00362073
27-06-2005,28.16176455
28-06-2005,29.01330818
29-06-2005,29.31743091
30-06-2005,30.77722
01-07-2005,31.00780267
04-07-2005,33.51153829
05-07-2005,34.4985879
06-07-2005,34.57081105
07-07-2005,34.94396395
08-07-2005,34.67914576
11-07-2005,34.90785238
12-07-2005,34.66710857
13-07-2005,34.48655071
14-07-2005,30.75502167
18-07-2005,28.817034
19-07-2005,28.78092243
20-07-2005,27.80591
21-07-2005,25.2781
22-07-2005,21.66694286
25-07-2005,23.47252143
26-07-2005,24.08641814
27-07-2005,25.1577281
28-07-2005,25.69940167
29-07-2005,26.48181905
01-08-2005,27.06794139
02-08-2005,26.05996174
03-08-2005,25.24866104
04-08-2005,24.47423765
05-08-2005,25.56826435
08-08-2005,26.40414991
09-08-2005,27.03106409
10-08-2005,26.92043217
11-08-2005,27.57193122
12-08-2005,27.44900687
15-08-2005,26.98189435
16-08-2005,26.94501704
17-08-2005,27.53505391
18-08-2005,27.36295983
19-08-2005,27.57193122
22-08-2005,27.84236478
23-08-2005,27.73173287
24-08-2005,27.89153452
25-08-2005,28.24801513
26-08-2005,28.37093948
29-08-2005,28.64137304
30-08-2005,28.5184487
31-08-2005,28.92409904
01-09-2005,29.66051
02-09-2005,29.90563818
05-09-2005,29.84435614
06-09-2005,29.80758691
07-09-2005,29.84435614
08-09-2005,29.390869
09-09-2005,28.92512545
12-09-2005,27.27051023
13-09-2005,26.41256159
14-09-2005,27.39307432
15-09-2005,27.6382025
16-09-2005,26.84153591
19-09-2005,27.12343332
20-09-2005,26.9641
21-09-2005,26.93958718
22-09-2005,27.20922818
23-09-2005,26.9641
26-09-2005,26.2899975
27-09-2005,27.00086923
28-09-2005,27.76076659
29-09-2005,27.94461273
30-09-2005,27.82204864
04-10-2005,27.92175333
05-10-2005,28.77478452
06-10-2005,28.45039238
07-10-2005,27.75355
10-10-2005,27.75355
11-10-2005,27.81362262
12-10-2005,28.15002929
13-10-2005,28.15002929
14-10-2005,27.75355
17-10-2005,27.75355
18-10-2005,27.36908524
19-10-2005,26.97260595
20-10-2005,26.64821381
21-10-2005,26.1916619
24-10-2005,25.74712452
25-10-2005,25.74712452
26-10-2005,26.07151667
27-10-2005,26.15561833
28-10-2005,26.50403952
31-10-2005,26.58814119
01-11-2005,25.75181409
02-11-2005,25.33931364
03-11-2005,25.08002764
04-11-2005,25.25681355
07-11-2005,25.48074236
08-11-2005,26.02288582
09-11-2005,26.576815
10-11-2005,26.73002945
11-11-2005,26.71824373
14-11-2005,27.28395864
15-11-2005,26.965744
16-11-2005,26.71824373
17-11-2005,26.55324355
18-11-2005,25.669314
21-11-2005,25.43359945
22-11-2005,25.91681427
23-11-2005,25.16252773
24-11-2005,23.21788273
25-11-2005,23.73645473
28-11-2005,23.65395464
29-11-2005,23.13538264
30-11-2005,23.27681136
01-12-2005,23.79518314
02-12-2005,25.19420238
05-12-2005,26.08340952
06-12-2005,26.20197048
07-12-2005,25.96484857
08-12-2005,25.11120971
09-12-2005,24.45912448
12-12-2005,25.25348286
13-12-2005,25.72772667
14-12-2005,25.31276333
15-12-2005,25.45503648
16-12-2005,25.11120971
19-12-2005,25.1349219
20-12-2005,24.81480733
21-12-2005,24.48283667
22-12-2005,24.399844
23-12-2005,24.54211714
27-12-2005,24.6369659
28-12-2005,24.87408781
29-12-2005,25.01636095
30-12-2005,25.07564143
02-01-2006,27.0263035
03-01-2006,26.32432159
04-01-2006,26.6269
05-01-2006,27.13523173
06-01-2006,27.81300736
09-01-2006,27.37729445
10-01-2006,27.34098505
11-01-2006,27.59515091
12-01-2006,27.59515091
13-01-2006,27.63146032
16-01-2006,27.5588415
17-01-2006,28.87808336
18-01-2006,30.05208759
19-01-2006,30.11260327
20-01-2006,31.74652668
23-01-2006,30.70565695
24-01-2006,29.99157191
25-01-2006,30.42728482
26-01-2006,31.39553573
27-01-2006,30.68145068
30-01-2006,31.37132945
31-01-2006,31.40763886
01-02-2006,31.33816875
02-02-2006,32.1141615
03-02-2006,32.4961887
06-02-2006,32.1857916
07-02-2006,30.9203265
08-02-2006,30.323409
09-02-2006,30.76512795
10-02-2006,31.05164835
13-02-2006,30.55023765
14-02-2006,30.6576828
15-02-2006,31.0635867
16-02-2006,31.2546003
17-02-2006,31.2546003
20-02-2006,31.6605042
21-02-2006,31.83957945
22-02-2006,32.0425314
23-02-2006,31.1590935
24-02-2006,31.26653865
27-02-2006,30.9203265
28-02-2006,30.6815595
01-03-2006,31.52846
02-03-2006,31.90108
03-03-2006,31.9732
06-03-2006,31.88906
07-03-2006,31.3722
08-03-2006,31.57654
09-03-2006,31.46836
10-03-2006,31.64866
13-03-2006,32.1535
14-03-2006,31.98522
15-03-2006,31.76886
16-03-2006,31.42028
17-03-2006,31.6126
20-03-2006,31.84098
21-03-2006,31.9131
22-03-2006,31.853
23-03-2006,31.88906
24-03-2006,31.7328
27-03-2006,31.4323
28-03-2006,31.62462
29-03-2006,31.90108
30-03-2006,32.08138
31-03-2006,32.08138
03-04-2006,32.8008285
04-04-2006,33.058523
05-04-2006,34.17519917
06-04-2006,34.88692683
07-04-2006,34.65377467
10-04-2006,34.85011333
11-04-2006,35.27960417
12-04-2006,35.3041465
13-04-2006,35.13235017
18-04-2006,36.54353433
19-04-2006,36.445365
20-04-2006,36.1140435
21-04-2006,35.5250275
24-04-2006,36.0404165
25-04-2006,33.00943833
26-04-2006,26.38300833
27-04-2006,19.9161035
28-04-2006,16.418821
02-05-2006,13.99547164
03-05-2006,15.27243073
04-05-2006,18.15835827
05-05-2006,16.25568923
08-05-2006,15.22135236
09-05-2006,15.32350909
10-05-2006,16.63877695
11-05-2006,16.1535325
12-05-2006,11.6586365
15-05-2006,19.09053841
16-05-2006,20.85274195
17-05-2006,19.79286591
18-05-2006,19.76732673
19-05-2006,20.44411505
22-05-2006,22.80648936
23-05-2006,24.46653618
24-05-2006,23.91744377
26-05-2006,23.75143909
29-05-2006,23.43219932
30-05-2006,22.25739695
31-05-2006,21.04428582
01-06-2006,20.1766775
02-06-2006,20.08812782
06-06-2006,19.64537941
07-06-2006,18.53218341
08-06-2006,17.84908586
09-06-2006,17.45693727
12-06-2006,18.65868295
13-06-2006,18.72193273
14-06-2006,18.38038395
15-06-2006,18.43098377
16-06-2006,18.59543318
19-06-2006,18.84843227
20-06-2006,19.60742955
21-06-2006,19.08878141
22-06-2006,19.32913055
23-06-2006,19.13938123
26-06-2006,18.55748332
27-06-2006,18.84843227
28-06-2006,19.26588077
29-06-2006,19.69597923
30-06-2006,19.83512873
03-07-2006,20.14166267
04-07-2006,20.052877
05-07-2006,20.014826
06-07-2006,20.357285
07-07-2006,20.26849933
10-07-2006,20.34460133
11-07-2006,20.53485633
12-07-2006,20.585591
13-07-2006,20.61095833
14-07-2006,20.80121333
17-07-2006,21.727121
18-07-2006,21.43539667
19-07-2006,20.775846
20-07-2006,21.01683567
21-07-2006,20.966101
24-07-2006,20.775846
25-07-2006,20.395336
26-07-2006,20.623642
27-07-2006,20.91536633
28-07-2006,20.26849933
31-07-2006,20.319234
01-08-2006,20.79274696
02-08-2006,20.86961478
03-08-2006,20.45965304
